Complexity_level,text
L-E,ants are super strong so they dig the hole quiqly even after it gets destroyed
L-E,apples fall off the trees in winter because they get weak
L-E,atoms are small particles building blocks that are everywhere they are made up of a central dense nucleus which is surrounded by one or some more lightweight negativity charged particles that are called electrons
L-E,carbon is everything without carbon there would be no universe
L-E,decomposersbreak down the remains of dead plants and animals and in doing so releasecarbon dioxidethrough respiration
L-E,energy can come from the sun and fossil fules and the suns energy is the main source of life like the plants convert it into food for them and then an anamail comes along and eats the plant and absobs the energy
L-E,first apple trees need sun light to grow and the rain then it keeps growing and growing untill it becomes a big apple tree with tasty apples on it
L-E,flamingos are born gray but they eat a type of plant and a type of mineral in the plant turns the flamigo pink it should be the same with ants
L-E,i agree with varsha becasue i onlny see moss on tree bark and the ground dirt
L-E,i agree with you because trees and plants can not live with out chlorophyll
L-E,i also think that the moss grows to the north because the north is colder and moss usually grows in cool and wet conditions
L-E,i also think that the moss is effected by the tree position
L-E,i can add on to that beacuse when the weather is putting the pressure on to the apple and making it fall off the tree its like when someone were to push you off the edge of a pool the pressure of the person pushing you is putting impact on your boby and therefore making you fall into the pool also i agree with you saying that if a person were sick its like an apple slowly rotting because it dosn't have the nutrients to grow off of
L-E,i can add on to that because when weather puts the pressure on the matter it can make it transfer into a different shape or fall apart like if there was a tsunami the waves are so strong that they can make houses and buildings fall apart and it can squish cars and make them flat or put them into a different shape or like when you pour water into a cup it takes the form of the cup
L-E,i dissigry they carry sand one by one i think
L-E,i don't think plants have energy i think they have nurtrients that turns in to fuel energy for the thing thats eats them
L-E,i don't think the moss will die out because when moss dies it will become rich soil for new mosses and plants to grow
L-E,i dont think metal ever lived
L-E,i dont think so because what if a bee died in it
L-E,i learned tha there are over 12 000 types of ants also they are soical insects witch mean they move in larage groups
L-E,i noticed that maybe only some trees have moss growing to the north maybe like a compass moss will grow to the north because there is something there what is that something
L-E,i predict that the moss on the ground will keep growing if it gets water and sun or else it will die my theory is that the cold weather and the rain will keep it alive or the rain will sit there and the cold will freeze it
L-E,i think once the ivy interacts with the skin it will infect the outside layer of skin and the interaction will cause an infection from bolth the ivy and the skin and that will create the rash
L-E,i think that the weather is making the apples fall down beacause the wind is putting preser on the apple my theory is that when the apples fall down they rot because they don't get the nuterents they need i need to understand that the applesare like people if the don't get there nutrents they get sick
L-E,i think that there is nutrients in thing animals eat that give them energy if they can't get energy they might be a canirvor if it's a plant because they can't convert those nutrients
L-E,i think you miss understand what spores are spores are kind of like the seeds for moss exept there´re microscphic
L-E,i think your 2 answer is correct and that it is probably a different type of moss
L-E,if a feamle ants eat the right food they turn into queen ants
L-E,if an ant eats the right kind of food it can become a queen ant
L-E,in photosynethesis the plant will use energy from the sunlight to convert carbon dioxide from the atmosphere into simple sugars a plant needs water and sunlight for food
L-E,in the daytime the hot air comes from the river and than it goes up in the air and than the cold air replaces it in the courtyard when its about to be winter the nights are cold but in the summer the nights are worm by the ways the air cycle in the daytie is the opposite of the air cycle in the nightime
L-E,is that the green side might be for camofloging with the leef and brown side for sand
L-E,it interacts with humans because if it is contagous than it can spred around if you tuch it
L-E,it probably grew like that over time maybe something happened to it
L-E,leaves absorbe the sun light and water and creates the suger that it uses to live
L-E,maybe a cherry tree or some type of trees full of fruits
L-E,maybe small animals like ants for a nest or a birdwhen the moss is on the tree the bird might use it for it's nest
L-E,maybe the ant that eats the right food will not be the king because it dosen't lay babies but it can lead the other ants to find another group with a queen
L-E,maybe there is somethingattracting the moss so it goes north
L-E,mosquioes are the most different creature on the planet because its one of the only living creature carry diseases
L-E,moss only grows on the northern side of tress if the tree lives in the northern hemisphere if the tree lives in the southern hemisphere the moss grows on the southern side of trees
L-E,moss will grow better in damper places because it takes in all the water in the air
L-E,most animals need water to survive water allows metabolism occur which is the process that drives all the biochemical reaction that take places in cells
L-E,most likely it would not grow just because that the roots are whatstartthe process for the tree to grow my theory mostly is that the tree will not grow anymore but will still live unless you cut it or it falls
L-E,my theory is you can feel the sun on you even if itś far away because the rays give off a whole lot of energy the sun reflects on a cloud and a cloud shoots to the ground like a mirror
L-E,my theroy is that white soil interacts with the plants the same as brown regular does because i have observed no change between either white soil or regular brown soil my hypothisis is that they are just diffrent colors and i do not think that that change makes a diffrence of how they grow
L-E,no because metal is not madde out of anything living
L-E,noah another term is apex prdetor wich means top of the food web
L-E,out side in the courtyard i found a brick wih a small patch of moss in the middle of the brick touching no other patches of moss i need to understand how the moss lives this theory cannot explain because i have not gatherd enough informaition
L-E,photosynthesis is the process by which green plants and some other organisms use sunlight to create foods from carbon dioxide and water
L-E,photosynthesis is the process used by plants algae and certain bacteria to harness energy from sunlight and turn it into chemical energy here we describe the general principles of photosynthesis and highlight how scientists are studying this natural process to help develop clean fuels and sources of renewable energy
L-E,poison in poison ivy poison oak and poison sumac is called urushiol and it is used to protect the plant never burn the plant because if the urushiol gets in the air and you breathe it in it will most likely kill you
L-E,rhizoids are the super thin roots that hold the moss in place they aren´t very strong so you could pick it up without struggle
L-E,serena an egg is clear then it turns white when it is older then the baby is clear and gets its colors when it's oldercamryn a baby is clear till it gets older than they turn a dark brown
L-E,some caterpillars like monarchs eat milkweed leaves so that they can scare there predators off and so they dont get eaten
L-E,some flowers are very sweetsmelling and they originally grew thorns to protect themselves from animals that may try to eat them so my theory is that they they may have been for protection like you said
L-E,spiders eat insects and get eaten by birds and fish so spiders are first level predators but not apex predators
L-E,spores are carried by the wind then it grows into moss
L-E,"the apple rots because the enrgery from the tree put it into the apple when it was on the tree and when said apple fell off of the tree it didn't get any more ""food"" from the tree so it will rot and die then posibly get eaten"
L-E,the bettle has a brown side for camiflouge and the green side is for that if camiflouge fails it can turn around to show the brigh green side to try to scare away the preadator
L-E,the energy is still being produced because if it stoped the tree would die the leaves are probably are getting weak and dry because the cold
L-E,the female moquitos spit on your skin to num up your skin were it smells looks sweeet and suger filled and then they put their sharp nose in your skin and find a blood vesel and suck out your blood
L-E,the freezing and cold tempretures will kill the moss and the rain will help it grow
L-E,the plant also useswater from rain and carbon for the process to work for the gluocose like a cooking recipe
L-E,there are diffrent types of moss such asiron moss wich will only grow on thigs with heavy amounts of iron on it my theory is that the moss only sticks to certain things your friend sienna
L-E,there can be a lot of different animals new information insects are anials too if insect are animals there is so many types of animals like grass hoppers ants mousqutioand other different insects
L-E,they give plants energy and animals eat that plant so they get energy and so on
L-E,they need sugar so they could make fruits and my question is how do the plants make sugarphoto=light and synthesis=putting toghetherleaves have tiny pores called stomata so carbon dioxide can enter the plant
L-E,toads can burrow if there is a predotor or a emergency maybe thats where toads go when its winter under ground
L-E,when do the mosquitos stop drinkings the blood well that's a good question etheir the mosquito's stomach gets full or it gets spotted and flys away quickly or dies because it got swatted by somebody
L-E,when the apple falls from the tree it gets a bruise then the decomposers build o to the bruise and takes the energy from the apple then the apple rots
L-E,when the apples fall they interact with the air because the apple is falling through the air when it falls to the ground it is interacting with leaves over time the apple will interact with decomposers the decomposers interact with the apple by eating it so it get rotten
L-E,when they dig the ants push dirt out to make tunnles witch makes a ant hill like when you dig with a tunnle
L-E,when they fall of the tree than they cant grow any more like a human when a human eats and than grows and you grow till you cant grow any more than advetually die so thats the same with apples
L-E,why are baby ants white when their born and then they turn to their regular ant colony color and not just be born the same color as their ant colony what i did learn though is that when the ants are born they have no legs and can't do anything without the help of the other ant or so called worker ants my theory is if the baby ants are born without legs and can't do anything by itself maybe that has to do with why its color is white also if their decomposers maybe something from that equals to why the baby abts are born white and if they eat te right type of foods they can turn to their regular coloies colors
L-E,yes my theory is yes during oter sesings in winter ther fur might white or oter colers
L-E,"image https kf6 rit albany edu manual_assets kf4images iconnoteunreadothr gif"" missing link "" link contribution by missing authors when a tardigrade is dry up it starts to synthesize special molecules which fill the tardigrades cells to replace lost water by forming a matrix a matrix is like a net the marix keeps cells from the tardigrade from moving or combining"
L-E,a better theory i think ant hills are living because the are in are ecosystem and they are ecsposed to air to live
L-E,my theory a daddy long legs fangs are to short to bite people but there tails are have been so deadly with venom
L-E,my theory is that maybe the berries are a source of food to the stink bugs and that's why they were all over the berries
L-E,my theory is that moss lets go clusters of seeds into the air and let the wind carry it away
L-E,my theory is that spiders can climb up walls because they shoot a spider web up and climb it and the web is sticky
L-E,my theory is that the enviormet is good here at this time
L-E,my theory is that the ground hog that we saw might live here in guilderland because there are nutrients maybe here so that is why i am searching wy groundhogs live in guilderland this theory cannot explain why ground hogs live in guilderland
L-E,my theory is that the moss might have got stuck on the brick somehow and there might have some water on it that might keep it sticking if you look in google how it gets stuck on the brick and gets nutrients from it might help
L-E,my theory is that there are all kinds of diffrent cattipilers but there is only one kind that i know that is piosenes and it is white with black spikes and it is really cool iv seen one or two before and thoes are the most dangoures cattipilers that i know
L-E,my theory is that there is oil on the poison ivy that makes you ich and there is alot of diffrent ways it can get in any were at any time at any place
L-E,my theory is that they are poisonis because they eat stuff that makes them poison is
L-E,my theory is that they eat anamals that cant hert them that much
L-E,my theory is that they go down deep so preditors will not eat them
L-E,my theory is that they need food to survive
L-E,my theory is that they need there fur to survive and water food
L-E,my theory is that they still could live because they would still have a lot of their legs and most likely 2 legs would not through them of ballance
L-E,my theory is that weather is a super strong force that uses lots of different matter like wind water houses and more weather can c hh znge a lot of things like people if it always snowed no crops could grow and all living things would die out
L-E,my theory is the apple fell of the tree and the decomposers eat the apple and the apple got less energy and rotted
L-E,my theory is the spider might still live for ages because a spider needs equal legs
L-E,my theory is the thorns are usedto keep plant eating animals away we should work together on this wondering
L-E,my theory is there might have been nutrients on the bery so that must be why
L-E,my theory is they might crall over the school like going on it and crall on to the roof to go in the courtyard
L-E,my theory is apples fall because of gravity the apple falls when it gets ripe once it is ripe it gets weak around the stem and the gravity pulls it down to the ground
L-E,my theory is toads do not go undergrond because they do not go undergrondthey go into a state of hibernation and somecanbe exposed to temperatures below freezing aquatic
L-E,my theory is that the white and black catipiller is piosonous but some one else thinks there is another black and white catipiller in florida but i disagree
L-E,my theory it is probably damp there to because it is dark and that stops the sun from drying it so maybe it grows in dark and damp places
L-E,my theory mosquitos are the most deady creatures in the world they can cary thousands of deiseases
L-E,my theory moss grows on the north side of trees because water evaporates on the north side of the tree in the southern hemisphere water evaporates on the south side of trees
L-E,my theory my theory is that ants find the hills and just put hole and the top the dont build the hills
L-E,my theory of why the stinkbugs are not moving when they are on the berries is maybe they want it as their source of food and the stinkbugs don't want the other stinkbugs getting over the berries also maybe since it's getting colder the stinkbugs want to get as much food as they can because it will be a lot colder and the stinkbugs will lose their sources of food
L-E,my theory poison is used to scare predetors away or else the predotor will dye slowly
L-E,my theory seeds are living matter because seeds in apples are like unborn children they dont grow but when they get the right treatment they grow into a huge apple tree
L-E,my theory that plants don't have energy in them they have nutrients and ogranisoms that eat them that eat plants get the nutrients into energy to move and do other stuff animals that don't don't get the energy
L-E,my theory mosquitos are the most deadly animals in the world they cary thousands of diseases
L-E,my theory moss does not only grow on the north side of trees moss grows on the north side of trees if the tree lives in the northern hemisphere the reason for this because the sun hits the north side of trees so water evaporates so moss grows if the tree lives in the southern hemisphere it grows on the south side
L-E,my theory wonce one gets in it lays eggs whitch makes more and one probibly crawled on the roo
L-E,my theory grasshoppers go through 4 stages of their life cycle egg nymph adult grasshoppers and death a nymph looks like a little adut grasshopper but with out wings
L-E,my theory i think the worms use the slime on their bodies help them to move around in the soil
L-E,my theory is that it's wind
L-E,my theory is that the plant starts to dies when the soil becomes more unheathly or they can't get the minerals that they need
L-E,new information moss seedless spores the wind carriess the spores throw the air and if it is in the right codistion then it will land on ground and it will grow the plant called moss
L-E,anthony female mosquitos are the only mosquitos that drink blood because they need nutrients for their eggs male mosquitos are harmless and instead eat nectar
L-E,i agree with owian but i think that the ants do a few grains of sand dirt at a time
L-E,i agree with serena because the plants made no progress over the weekend so i will also check with serena if the plants made any progress on the 7th of december and\or 10th of december
L-E,i noticed that ants were crawling around sand and there was a ant hole i need to understand how living underground impacts ants and what impacts ants living underground my theory is that snow and rain impacts ants living underground by bringing the ant hole down also does warm weather impact ants living underground also
L-E,i noticed that moss does not have seeds i need to understand that why does moss grow if it does not have seeds so it can grow my theory is moss is growing because a reaction that supposedly it makes moss grow
L-E,i noticed that moss was growing on the trees i need to understand why does moss grow on the tree my theory maybe the weather effects the moss or the light
L-E,i noticed that some plants in the courtyard are rotting i need to understand what causes living plants to interact with the rotting plants my theory is that the rotting plants decay into the soil and the living plants use the soil to grow
L-E,i noticed that the moss was get larger and larger as it spread i need to understand how and why does moss spread to other things around it my theory is that moss spread more cause it grows to the round and evantually reaches other objects
L-E,i noticed that there was more moss on the sides of the boards on the bench then on the top i need to understand if the moss grows better in the shade than in the sun my theory is that the moss needs to be in a dark and moist place this might be why it sometimes grows on wood
L-E,i noticed that when the wind blow the leaves fell off the tree i need to understand why the weather effects living and nonliving matter in the ges ecosytem my theory is thay when the weather puts presure on the matter like hail rain or wind the matter falls flattens or moves like when you get pushed you fall forward
L-E,i noticed the apple tree had some leaves that were green and some were yellow i need to understand why the leaves are different colors i know the temperature is getting cooler does that impact the way the tree changes my theory is that the leaves will eventually get so old they turn colors like my hair is so old it has turned gray
L-E,i think a few years at most
L-E,i think berry trees have red stuff on it
L-E,i think moss forms in dark areas because it grows on dark spot on trees
L-E,i think spiders climb walls by gripping into cracks with their legs
L-E,in other cases there would be making it moss because i just realized that moss cant grow seeds but plants can
L-E,the sun will allways be a mystriye because nobody has even gotten anywhere near the sun without dieing
L-E,well jack you see air you see it everywhere and air s everthing and plus air is the first thing that you see in the morning when you wake up
L-E,my theory is that most water are dirty in villages and if we install filters in villages so they can be clean
L-E,it might be because they don't have the resources
L-E,i think it's because there is not a lot of bodies of water and they have a lot of 3rd world countries that can not afford wells
L-E,some countries don't have the water they need because the dont have the equipment to filter and distribute it to more people
L-E,some countries also don't have much water because of a drout or of a water shortage from a war or hot weather
L-E,maybe we can install underground pipes that go to all of the villages and then the water can go through a filter and be cleaned and ready to drink
L-E,so my theroy is that we could we can put water towers in different areas then we put pipes in
L-E,they should filter the water if its dirty so it's healthy or add pipes around so it's not as hard to get water
L-E,what weill happed if you drink too much water will you be fine
L-E,my theory is that if you drank only sugar drinks for 2 weeks these could be some of the results *you might get diabetes*your teethmight rot and fall out*you might have a hyperactivity seizure*your organs might get weaker because they had too much sugar energy and shorted out *you would gain a lot of weight*you might get dehydrated if there is caffeine in your drinks *your blood sugars can spike and drop making you hyper and tired
L-E,i think what would happen is it could would dmage your teeth and youcould get diabetes like erica said you may not be able to survive it may be like drinking saltwater instead of regular water you can't survive if you just drink saltwater
L-E,africa's water dries up more quickly because they are closer to the equator
L-E,yes thatsn right but some of the gose to the trees and dose not dry up and it stays under ground
L-E,my theory is that soda is way unhealither than water soda has sugar and other unhealther products water has just water is there any other differences
L-E,my theory the water comes from graciers lakes groundwaters swamps and river
L-E,my theory is most likely that water doesn't have a lot of flavor like ingredients and soda let's say dr pepper has like a caramel color or like caffiene idk how to spell it so that is how
L-E,my theory is that it has to do with chemestrey
L-E,i dont think we can make water we get our water from the rain or ground water and other types of ways these are like the types of ways we get water
L-E,we know how to make water but its really hard and there are lots of complications google it
L-E,would we take the time just to make water when it rains every once in a while and google doesn't know everything
L-E,i didnt say we should do it i said we know but theres lots of complications i ment google it and find a website
L-E,again i didnt say that humans should start making water and ocean water has salt in it if we drink too much humans will die thats what some people are trying to figure out how to get salt out of the salt water but your obviously not listening i know google dosnt know everything i said find a website
L-E,my theory is that if we find a way to filter saltwater it could help humans
L-E,hey timy they already made a filter that can trancfer the salt out of salt water
L-E,putting our knowledge together if there is already something that can get the salt out of salt water than we would not be having this unit
L-E,the reason why is that it is very expensive to desalinate water
L-E,my theory we can use ships to get it to poor courtys or bulid pips ouder nith the ocan to carry the water
L-E,i know that 2 hydrogen atoms and 1 oxygen atom also known as h2o so if we combine those i think we might get water
L-E,if we put 2 3 hydrogen and 1 3 oxygen in a container then we might turn out with water if we can get a big chunk of a glacier then we can melt it and give more water to countries in need
L-E,we can not bind the two but i was thinking the same thing about both
L-E,what if we had fiters that can filter the salt out of salt water oh wait we do so why can´t we just take a lot of those filter and put thenm all around the world and then peopl can get fresh water all the time and the fresh water can go to alot of good cause and all those cause are food and health
L-E,my theory is that we should build filters in big factories and transport water all around the world and check if the filters take out the salt in the water
L-E,one way to get fresh water is to melt glaciers into water i know this because if you melt snow or ice it becomes water
L-E,putting our knowledge together just think about how much water we actually have in this world compared to the salt water salt water is poisen thats why we sweat salt water and pee salt water this is also why your pee is yellow if its clear then you need to drink water
L-E,i do not think salt water is poisonous but we can not use it also pee and sweat as far as i know are not salt water
L-E,you can create water but it would be dangrass and we might loose osgyan
L-E,putting our knowledge together i know that people need clean water in order to stay nice and healthy otherwise if people drink dirty water people is going to be sick or pass away
L-E,water is importent to us for many reasons so why are wedestroying it and filling it with garbage my theory is that people don't know where to put it so we dump it in water that we can use for many things but we people think that our garbage is going some place that is ok but we don't know whats actually happening cause we don't get telled we're basically being lied to in the face i think we should do something about that
L-E,water pollution is the contamination of bodies of water usually caused by humans water pollution happens when contaminants get into the water source
L-E,because we cant servive without water
L-E,there is soething called the water table it is under all the soil its at the way bottem do you know what satured means grab a spunge and dip it in a bowl of water squeez it and all the water will spill out if a drop of rain drops on to the soil or durt the drop of water will evaporate into the air when water squirts out of the soil durt its calld a spring just like in tuck everlasting
L-E,my theory is that water is way heather than soda a better theory is soda has a lot of calerles and water is way beter than soda and milk is better than
L-E,my theory i read a book and it said that if there were no moon there would be no waves is that true and if it was true why
L-E,the fruit would need water i think it would have water in it and if it has added sugar or sweetner that would need water to so i don't think so plus water is better for you
L-E,no because water does not carry sugar juice carry's a ton of sugar and its not that healthy
L-E,i got a great idea if helicopters scooped up water with giant water tanks wouldn't that help people who need water
L-E,people need water to hydrate
L-E,the reason why we need water is because we wont be able to servive water is more important than food because food just helps your stomach water keeps you alive and water keeps all the animals and plants alive too
L-E,water is much more healthier than soda i know this because soda has a lot of sugar in it but water doesn't have sugar
L-E,putting our knowledge together soda can also weaken you teeth and bones water is good for you + water can hydrate you
L-E,many people cannot get to water because of water scarcity i think water scarcity is when people can't get water i think that also most people don't know how to get water because they don't have the proper education like how nya didn't know how to get water from under the ground because she did not know
L-E,even if we get ground water we still need to filter it
L-E,how a shadow is made a light nose on a big object
L-E,rainbows are when light goes through rain droplets that act like prisms
L-E,the order of colors in the rainbow goes red orange yellow green blue indigo violet its in that order because of the light waves red is the longest light wave and violet is the shortest light wave
L-E,this is how we see different colored objects when you see a yellow flower it is because all the primary colors of light hit it red and green light bounce off of the flower into your eye
L-E,its the same with magenta except blue red nonces off
L-E,its also the same with cyan except blue green light bounces off
L-E,shadows are made when light hits an opaque object and so then it makes shadow the shadow is allays attacher to a opaque object
L-E,it depends on the time of day for the size of the shadow
L-E,a convex lens also helps focus the light
L-E,it dost focus the light
L-E,if you shine a light through a stem of water you will see a rainbow in the water
L-E,wen you see a red rose the blue and green are being absorbed and the red will be reflected and you see a red rose
L-E,wen you look at a yellow rose the to colors that are reflected are red and green they make yellow the blue is absorbed and you cant see it
L-E,other lights our when the sun boards the earth with tiny particles of belletristic they hit the earths attester the air and electricity makes it glow
L-E,a liner elicits is when the sun is behind the earth and the moons in front of the earth
L-E,light travels in inviable waves so it acts like a straight line but is actually waves
L-E,light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line it was proved by many people a long time ago
L-E,a shadow is made by an opaque object nontransparent object and when you shine the light through the opaque object you can see a black spot that black spot is a shadow
L-E,solar panels are usably used in places where they want to absorb light what a solar panel is basically is a thing that absorbs light stead of reflecting light so it can give off light later on
L-E,you have three eye cones in your eyes to see different couplers like i said before the easy way to se many couplers is you need blue red and green so they are blue red and green
L-E,glowing things is that it needs to absorb light to work
L-E,a shadow is a reflection of light hitting an object to see a shadow you need a source of light like the sun or a flash light
L-E,a solar eclipse is when the sun over laps the moon band then the sun and the moon go red
L-E,this is how a shadow is made a shadow is made when light hits an object
L-E,this is why how you make a rainbow with a prism you get a prism and shine a light though the prism and then you will see a prism rainbow
L-E,how we make a rainbow with rain after it rains you see a rainbow its made by the sun light shining though the water and it makes a rainbow
L-E,solar panel absorb light and change it to solar energy
L-E,my theory about how light travels is that light travels in ripple waves
L-E,my theory about all we see is light is that every thing we see is light
L-E,the way a shadow is made is that you are covering part of where the light hits
L-E,my understanding of rainbows is that the reason that there always in the same order is that red has the longest light wave and violet the shortest
L-E,anything that isn't the same color gets absorbed the same color is always reflected
L-E,rainbows are sometimes made when leftover raindrops the raindrops acts as prisms
L-E,other things make things glow in the dark like electricity heat and friction
L-E,if you looked into a concave mirror you would see behind you and a lot of light because the light goes in then bounces until it shoots out the way it came
L-E,i learned that a solar eclipse occurs when the moon blocks the sun which casts a huge shadow over the earth
L-E,a shadow is made by light hitting you and the light is big so it gets around the person and makes a shadow
L-E,i also learned that there are things called atoms and electrons that can pass through wires and make electricity
L-E,the northern lights happen when the sun makes tiny bits of electricity go down to earth
L-E,if you look at a yellow flower the color that would absorb is blue and the colors that would bounce into your eyes are red and green
L-E,if you look at a red rose blue and green are absorbed into your eyes and red is reflected
L-E,when you see a rainbow you only see half of it a rainbow is actual a circle but the clouds are blocking the half of the rainbow that you don't see
L-E,if you look at a red rose in green light the rose doesn't absorb the green light so the rose appears black
L-E,fluorescence objects are glow in the dark objects a sea animal that lives under the water is glow in the dark and glow in the dark star stickers and bandages fluorescence objects are made be friction like two rocks rubbing together
L-E,a lunar eclipse is when the moon covers the sun long time ago a man predicted that there would be a lunar eclipse and he was right
L-E,a solar eclipse is when the sun covers the moon
L-E,my understanding about shadows is that when light hits you it creates a shadow my theory is that the light hits you and goes around you to make a shadow heres a picture to make it more simple
L-E,also they react like chemiluminescence witch is a process of changing chemic energy into light energy
L-E,solar panels absorb sun light rays and turn them into energy
L-E,to reflect colors the object has to be the same color to reflect the light colorto absorb light color the object has to be not the same color to be absorb
L-E,i think that light travels in straight lines and some other people think that light travels in waves i also think that light is a wave but it travels in straight lines i think light travels in straight lines in two ways
L-E,a rainbows are made by raindrops that act like a prism that make the rainbow
L-E,if you look at a green apple for a long time the green cone gets tired but the red and blue are not tired and together red and blue make purple and purple is the opposite color of green
L-E,most things that glow have some fluorescent paint on them this paint absorbs light and then glows until it has no more light absorbed in it
L-E,a shadow is made when darkness made when light shines on a opaque object
L-E,a liner eclipse is when the earth is between the sun and the moon
L-E,a solar eclipse is when the moon is between the sun and the earth
L-E,a shadow is made when a light source hits an object
L-E,a lunar eclipse is when the sun foe between the moon and casts a shadow
L-E,a solar eclipse is when the sun goes in front of the moon
L-E,i need to understand why you can get two different kinds of shadows one that is larger than you and one that is smaller than you my theory of what happens is that it appends on the time of day
L-E,what helps things that glow are fluorescence pink and other colors
L-E,if your body wants to see a red rose the red is bounced into your eyes and the other colors are absorbs
L-E,if your body wants to see a yellow green and red is bounced into you eyes and the blue is absorbed
L-E,solar panels takes in light and makes it in to energy
L-E,my understanding shadows starts at the shadow view if a light sours hits a optic nontransparent object which creates a shadow such as a person is standing behind a light sours and a shadow papers behind them
L-E,rain can can be used as prisms thats why theres a rainbow after it rains
L-E,a solar panel absorbs light and uses it as energy
L-E,fireflies produce light from their abdominals because of a chemical reaction caused by lucifer and lucifer this is called photoluminescence
L-E,this is how a glow stick works when you snap a glow stick it makes a little hole and to chemicals collide and then they glow this is called chemiluminescence
L-E,a shadow is made by standing in front of a light source and then the place you block up is where the shadow is made
L-E,a solar eclipse is when the moon passes in between the sun and the earth causing a big shadow
L-E,i thought glow in the dark could only happen with one thine but then i read yasmin note and saw that it happens with three things heat friction and electricity
L-E,in the shadows view i learned the closer the sun is to you the stronger it is
L-E,also i learned that your body blocked the sun and that creates a shadow the sun goes through the ground and makes a shadow for a root
L-E,a rainbow in rain is made because its so damp outside
