Complexity_level,text
L-RF,https docs google com presentation d 1djw8nnhedyryr31irkgolm96raiapvwfub23r71kkgk edit#slide=id p link https docs google com presentation d 1djw8nnhedyryr31irkgolm96raiapvwfub23r71kkgk edit#slide=id p here's a link to a presentation on what ants eat and drink
L-RF,https ed ted com lessons meetthetardigradethetoughestanimalonearththomasboothby link https ed ted com lessons meetthetardigradethetoughestanimalonearththomasboothby
L-RF,https wonderopolis org wonders q=trees
L-RF,https www sites ext vt edu virtualforest modules photo html link https www sites ext vt edu virtualforest modules photo html do a 2 finger click or left click on a mouse and click open new link tap at the top
L-RF,https www sites ext vt edu virtualforest modules photo html link https www sites ext vt edu virtualforest modules photo html heres a new link same thing on how to open it do a 2 finger click and hit open ink to new tab
L-RF,https www worldbookonline com wbdiscover media id=lr000368 link https www worldbookonline com wbdiscover media id=lr000368 click on the link above
L-RF,i found out that there are over 1 thousand speices of moss here is a link for a moss website https wonderopolis org wonder allaboutmoss link https wonderopolis org wonder allaboutmoss
L-RF,"i've noticesd that stars are made out of fire and they need oxgen but in space there is no oxgen so how do they burn missing link image https kf6 rit albany edu manual_assets kf4images iconnoteunreadothr gif"" missing link "" link contribution by missing authors missing link is that the fire there burns on gas"
L-RF,ilhaam there is a great video on prescribed burns on the discovery center website link http www albanypinebush org conservation ecosystemrestorationandmanagement firemanagement
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bb1734a502a7223616cc7ab 1 tree root depth jpgby james urban this picture
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bc4babefbfdfb5f82347878 1 ants s vs p1 gifimage https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bc4c3b5fbfdfb5f823478f4 1 ants 2 gif
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bcde1f2e196dc4872d2cc28 1 trevor science 1 jpegthis is the orangesbefore they turned completely fuzzy ↓image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bcde645e196dc4872d2ce85 1 trevor 5ksciencephoto2 jpegthis is the oranges after they turned completely fuzzy
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bf2d4c47e20b918b8c61011 1 screenshot 20181119 at 10 19 12 am pnghere hopeflly this can help you more understand
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bf2d5ce7e20b918b8c6102e 1 screenshot 20181119 at 10 24 43 am png
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bf2d7457e20b918b8c61097 1 screenshot 20181119 at 10 24 43 am png
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5bf2d8b57e20b918b8c610ec 1 blob
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c0e851fc0c1561fdba7275d 1 img_20181210_102334 jpg
L-RF,image https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c0e8632c0c1561fdba727b5 1 screenshot 20181210 at 10 27 53 am png
L-RF,image https www thoughtco com thmb 18y_k9cnmdyctuzyikv43xnxjy= 805x743 filters no_upscale max_bytes 150000 strip_icc format webp leaf_margin56af612d3df78cf772c3b94a jpgimage https www thoughtco com thmb hhne5frnlpl1pxxwtxqnl9n7s= 379x321 filters no_upscale max_bytes 150000 strip_icc format webp leaf_veins56af61313df78cf772c3b95e jpgimage https www thoughtco com thmb 4qd3f_2hcwcertk3bgobdjyg= 789x465 filters no_upscale max_bytes 150000 strip_icc format webp leaf_shape56af60e83df78cf772c3b710 jpg
L-RF,image https www thoughtco com thmb ityuagxajpvtqzwb_jm13hetae= 1500x1000 filters no_upscale max_bytes 150000 strip_icc format webp parts_of_a_leaf56abaed23df78cf772b5625a jpgimage https www thoughtco com thmb cimgo8dabmqgghuohvinl_nbuo= 1500x1000 filters no_upscale max_bytes 150000 strip_icc format webp leaf_crossection57bf24a83df78cc16e1f29fd jpg
L-RF,picturesimage https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c096c7ac0c1561fdba71ee9 1 blobimage https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c096ca5c0c1561fdba71f04 1 screenshot 20181206 at 1 31 44 pm pngimage https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c096cb8c0c1561fdba71f0b 1 screenshot 20181206 at 1 33 00 pm pngimage https kf6 rit albany edu attachments 5b87586745b8a02554df72de 5c096cd2c0c1561fdba71f12 1 screenshot 20181206 at 1 34 47 pm png
L-RF,science docsgoogle docs link https docs google com document d 1kmpfza56wmirlb78hbkeahibdhoqjfezathjpr7cpe edit usp=sharing
L-RF,https docs google com drawings d 1xfj_xjzkv9ruwpnp350yd41vh7yqwwk1aef77ueeg link https docs google com drawings d 1xfj_xjzkv9ruwpnp350yd41vh7yqwwk1aef77ueeg this is a water molecule drawing by me please do not edit it
L-RF,hey tyler a shorter word for water is h2o
L-RF,image https i stack imgur com un7s1 jpg
L-RS,i know that the earth will always have about the same amount of water but we can make water dirty so we can't use it again until we purify it in africa one of the main water sources is lake chad but it has been shrinking here is a link to a picture of lake chads water supply https docs google com document d 1_kg6wlpn_uep2yruobxnzlfxpb07kr4bgq4fs8icgcu edit link https docs google com document d 1_kg6wlpn_uep2yruobxnzlfxpb07kr4bgq4fs8icgcu edit
L-RF,https www google com search q=where+does+water+come+from&amp rlz=1cakabj_enus835&amp source=lnms&amp tbm=isch&amp sa=x&amp ved=0ahukewikjy2_35jiahwfmd8khdqedh4q_auidygc&amp biw=1517&amp bih=694&amp safe=active&amp ssui=on#imgrc=jtvt_qzcenybym link https www google com search q=where+does+water+come+from&amp rlz=1cakabj_enus835&amp source=lnms&amp tbm=isch&amp sa=x&amp ved=0ahukewikjy2_35jiahwfmd8khdqedh4q_auidygc&amp biw=1517&amp bih=694&amp safe=active&amp ssui=on#imgrc=jtvt_qzcenybym
L-RF,https docs google com document d 10tp0lqnmjop5hssyfblvod6__khh7k4bpcpb5egjd8a edit link https docs google com document d 10tp0lqnmjop5hssyfblvod6__khh7k4bpcpb5egjd8a edit
L-RF,https www townofbethlehem org documentcenter view 4299 bethlehemwatersuppliestreatment21214 bidid link https www townofbethlehem org documentcenter view 4299 bethlehemwatersuppliestreatment21214 bidid watch this link for this queston why do people have to spend money for water
